P28021_128	PcebuU1022	BMNH 1923.8.7.2652		Alaudidae	Corypha somalica somalica	0				
16323A	16323	SX11064		Phylloscopidae	P. coronatus	Zhouzhi County Old County, old County national nature reserve, Shaanxi Province			/proj/uppstore2019097/private/01_READS_ASSEMBLIES/F22FTSNCKF0058/BIRjmdsR/upload/16323A/	/proj/ieg_storage/per_storage/raw_data/private/01_READS_ASSEMBLIES/F22FTSNCKF0058/BIRjmdsR/upload/16323A/
16348A	16348	SX11089		Phylloscopidae	P. coronatus	Zhouzhi County Old County, old County national nature reserve, Shaanxi Province			/proj/uppstore2019097/private/01_READS_ASSEMBLIES/F22FTSNCKF0058/BIRjmdsR/upload/16348A/	/proj/ieg_storage/per_storage/raw_data/private/01_READS_ASSEMBLIES/F22FTSNCKF0058/BIRjmdsR/upload/16348A/
16349A	16349	SX11090		Phylloscopidae	P. coronatus	Zhouzhi County Old County, old County national nature reserve, Shaanxi Province			/proj/uppstore2019097/private/01_READS_ASSEMBLIES/F22FTSNCKF0058/BIRjmdsR/upload/16349A/	/proj/ieg_storage/per_storage/raw_data/private/01_READS_ASSEMBLIES/F22FTSNCKF0058/BIRjmdsR/upload/16349A/
PhyijiU5708	U5708			Phylloscopidae	P. ijimae	Miyake				
PhyijiU5709	U5709			Phylloscopidae	P. ijimae	Miyake				
PhyijiU5710	U5710			Phylloscopidae	P. ijimae	Miyake				
PhyijiU5711	U5711			Phylloscopidae	P. ijimae	Miyake				
TD-2518-U5645-PijiMi		U5645		Phylloscopidae	P. ijimae M	Miyake				
TD-2518-U5649-PijiMi		U5649		Phylloscopidae	P. ijimae M	Miyake				
TD-2518-U5147-PijiNa		U5147		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5148-PijiNa		U5148		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5149-PijiNa		U5149		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5150-PijiNa		U5150		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5151-PijiNa		U5151		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5152-PijiNa		U5152		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5153-PijiNa		U5153		Phylloscopidae	P. ijimae N	Nakanoshima				
TD-2518-U5154-PijiNa		U5154		Phylloscopidae	P. ijimae N	Nakanoshima				
PhyolivU1675B	U1675B			Phylloscopidae	P. olivaceus	Mt Kitanglad, Mindanao				
TD-2518-U1676-Poliv		U1676		Phylloscopidae	P. olivaceus	Mt Kitanglad, Mindanao				
P28020_341	U4782? (U4722 DZUG nr. fel –?Emberiza aureola enl. UOs lista); RYA576 UWBM75276, Phylloscopus coronatus, ♂,  Ya.A.Redkin576, RUSSIA, U4722		PcorU4722	Phylloscopidae	Phylloscopus coronatus	Primorsky Kray 44.3674N, 133.0265E	0	0		
P28020_234	UWBM 71710		PcorU4779	Phylloscopidae	Phylloscopus coronatus	Primorsky Kray 44.42N, 135.87E	0	0		
