pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Mi	Na	VHQE01000425.1	1	20000	0.0338807515904719	282	1832	54072	72
Mi	Na	VHQE01000425.1	20001	40000	NA	0	NA	NA	NA
Mi	Na	VHQE01000425.1	40001	60000	0.0528846153846153	130	1320	24960	0
Mi	Na	VHQE01000425.1	60001	80000	0.0244897959183673	245	1152	47040	0
Mi	Na	VHQE01000425.1	80001	100000	0.0915295193312434	638	11212	122496	0
Mi	Na	VHQE01000425.1	100001	120000	0.0687940802404902	1442	19040	276768	96
Mi	Na	VHQE01000425.1	120001	140000	0.1255924170616113	2113	50880	405120	576
Mi	Na	VHQE01000425.1	140001	160000	0.0105732241903739	11178	22692	2146176	0
Mi	Na	VHQE01000425.1	160001	180000	0.0086351383028598	14220	23576	2730240	0
Mi	Na	VHQE01000425.1	180001	200000	0.0095228693230068	19626	35884	3768192	0
Mi	Na	VHQE01000425.1	200001	220000	0.0066876413901209	18713	24028	3592896	0
Mi	Na	VHQE01000425.1	220001	240000	0.0161579616541393	15600	48394	2995056	144
Mi	Na	VHQE01000425.1	240001	260000	0.0145370314034645	14383	40140	2761224	312
Mi	Na	VHQE01000425.1	260001	280000	0.0087087574904339	9234	15440	1772928	0
Mi	Na	VHQE01000425.1	280001	300000	0.0103237330005509	11419	22634	2192424	24
Mi	Na	VHQE01000425.1	300001	320000	0.0087617027552833	17798	29940	3417144	72
Mi	Na	VHQE01000425.1	320001	340000	0.0103934410999628	16146	32220	3100032	0
Mi	Na	VHQE01000425.1	340001	360000	0.0093899376777394	16527	29796	3173184	0
Mi	Na	VHQE01000425.1	360001	380000	0.0144252324319222	14126	39124	2712192	0
Mi	Na	VHQE01000425.1	380001	400000	0.0186823884713239	17163	61564	3295296	0
Mi	Na	VHQE01000425.1	400001	420000	0.0109908345546846	15693	33116	3013056	0
Mi	Na	VHQE01000425.1	420001	440000	0.0184557464252763	12330	43688	2367176	184
Mi	Na	VHQE01000425.1	440001	460000	0.0145484823032593	14287	39908	2743104	0
Mi	Na	VHQE01000425.1	460001	480000	0.0121249232859898	15208	35404	2919936	0
Mi	Na	VHQE01000425.1	480001	500000	0.0100354676041833	18773	36172	3604416	0
Mi	Na	VHQE01000425.1	500001	520000	0.0095950450749772	15049	27724	2889408	0
Mi	Na	VHQE01000425.1	520001	540000	0.040573731286172	8712	67862	1672560	144
Mi	Na	VHQE01000425.1	540001	560000	0.0099942471535762	11806	22654	2266704	48
Mi	Na	VHQE01000425.1	560001	580000	0.0077036172979015	17146	25360	3291960	72
Mi	Na	VHQE01000425.1	580001	600000	0.0076726578444927	15822	23308	3037800	24
Mi	Na	VHQE01000425.1	600001	620000	0.0100546714735615	12981	25056	2491976	376
Mi	Na	VHQE01000425.1	620001	640000	0.0092522250642951	17938	31860	3443496	600
Mi	Na	VHQE01000425.1	640001	660000	0.0114791779340183	18490	40752	3550080	0
Mi	Na	VHQE01000425.1	660001	680000	0.0148648710111705	18322	52292	3517824	0
Mi	Na	VHQE01000425.1	680001	700000	0.0175178872989067	11251	37842	2160192	0
Mi	Na	VHQE01000425.1	700001	720000	0.0174674347231752	15668	52544	3008112	144
Mi	Na	VHQE01000425.1	720001	740000	0.0090809068417546	17515	30538	3362880	0
Mi	Na	VHQE01000425.1	740001	760000	0.0113080278697233	16314	35420	3132288	0
Mi	Na	VHQE01000425.1	760001	780000	0.0107711820435459	17346	35872	3330368	64
Mi	Na	VHQE01000425.1	780001	800000	0.0145628776435045	17212	48126	3304704	0
Mi	Na	VHQE01000425.1	800001	820000	0.0113502408137145	9897	21568	1900224	0
Mi	Na	VHQE01000425.1	820001	840000	0.009131791483113	14982	26268	2876544	0
Mi	Na	VHQE01000425.1	840001	860000	0.0130932261009771	17159	43136	3294528	0
Mi	Na	VHQE01000425.1	860001	880000	0.0117435918442585	16275	36696	3124768	32
Mi	Na	VHQE01000425.1	880001	900000	0.0114176506206478	16515	36204	3170880	0
Mi	Na	VHQE01000425.1	900001	920000	0.0084900609236271	16031	26132	3077952	0
Mi	Na	VHQE01000425.1	920001	940000	0.0098787710531186	18010	34160	3457920	0
Mi	Na	VHQE01000425.1	940001	960000	0.0088910215111492	18626	31796	3576192	0
Mi	Na	VHQE01000425.1	960001	980000	0.0113143783714359	15572	33828	2989824	0
Mi	Na	VHQE01000425.1	980001	1000000	0.0085957475440721	17339	28616	3329088	0
Mi	Na	VHQE01000425.1	1000001	1020000	0.0105229084655453	16766	33874	3219072	0
Mi	Na	VHQE01000425.1	1020001	1040000	0.016310975609756	13940	43656	2676480	0
Mi	Na	VHQE01000425.1	1040001	1060000	0.0110547817877442	17124	36346	3287808	0
Mi	Na	VHQE01000425.1	1060001	1080000	0.0098962898042652	17115	32520	3286080	0
Mi	Na	VHQE01000425.1	1080001	1100000	0.0102695209526406	18335	36152	3520320	0
Mi	Na	VHQE01000425.1	1100001	1120000	0.0111244258038745	16690	35648	3204480	0
Mi	Na	VHQE01000425.1	1120001	1140000	0.0077789604399503	18790	28064	3607680	0
Mi	Na	VHQE01000425.1	1140001	1160000	0.0122382277654658	19403	45592	3725376	0
Mi	Na	VHQE01000425.1	1160001	1180000	0.0080440332684108	18997	29340	3647424	0
Mi	Na	VHQE01000425.1	1180001	1200000	0.009560944343553	18722	34368	3594624	0
Mi	Na	VHQE01000425.1	1200001	1220000	0.0131187695560159	18763	47260	3602472	24
