pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
Mi	Na	VHQE01000425.1	1	20000	0.1128939790859295	38
Mi	Na	VHQE01000425.1	40001	60000	0.1558677685950412	38
Mi	Na	VHQE01000425.1	60001	80000	0.0385101010101009	36
Mi	Na	VHQE01000425.1	80001	100000	0.1038951772451593	232
Mi	Na	VHQE01000425.1	100001	120000	0.1051498954534708	377
Mi	Na	VHQE01000425.1	120001	140000	0.2025517092093945	931
Mi	Na	VHQE01000425.1	140001	160000	0.8008973927535535	715
Mi	Na	VHQE01000425.1	160001	180000	0.8103957799919794	762
Mi	Na	VHQE01000425.1	180001	200000	0.7869073073844003	1071
Mi	Na	VHQE01000425.1	200001	220000	0.7238252341964677	940
Mi	Na	VHQE01000425.1	220001	240000	0.5127456448993712	1126
Mi	Na	VHQE01000425.1	240001	260000	0.6149841823046441	1111
Mi	Na	VHQE01000425.1	260001	280000	0.7650682995760717	624
Mi	Na	VHQE01000425.1	280001	300000	0.6587093768574594	828
Mi	Na	VHQE01000425.1	300001	320000	0.6355328839497175	1104
Mi	Na	VHQE01000425.1	320001	340000	0.7391501608261385	1113
Mi	Na	VHQE01000425.1	340001	360000	0.6823026885854111	1166
Mi	Na	VHQE01000425.1	360001	380000	0.749051500590198	1064
Mi	Na	VHQE01000425.1	380001	400000	0.760013230872824	1396
Mi	Na	VHQE01000425.1	400001	420000	0.6715984583118295	1175
Mi	Na	VHQE01000425.1	420001	440000	0.3240045513819781	1274
Mi	Na	VHQE01000425.1	440001	460000	0.5923861244498712	1287
Mi	Na	VHQE01000425.1	460001	480000	0.6202072698513779	1239
Mi	Na	VHQE01000425.1	480001	500000	0.6295215787198537	1321
Mi	Na	VHQE01000425.1	500001	520000	0.6939127241248148	1104
Mi	Na	VHQE01000425.1	520001	540000	0.2527801118671566	1499
Mi	Na	VHQE01000425.1	540001	560000	0.5876176793983804	978
Mi	Na	VHQE01000425.1	560001	580000	0.6364754967467534	1172
Mi	Na	VHQE01000425.1	580001	600000	0.6934489913724512	1175
Mi	Na	VHQE01000425.1	600001	620000	0.6161676259605687	951
Mi	Na	VHQE01000425.1	620001	640000	0.6637137078996174	1167
Mi	Na	VHQE01000425.1	640001	660000	0.7917371595816827	1357
Mi	Na	VHQE01000425.1	660001	680000	0.7268109844718121	1322
Mi	Na	VHQE01000425.1	680001	700000	0.4156622511783443	1025
Mi	Na	VHQE01000425.1	700001	720000	0.548327591973244	1329
Mi	Na	VHQE01000425.1	720001	740000	0.7199006900493574	1225
Mi	Na	VHQE01000425.1	740001	760000	0.7160535906780966	1208
Mi	Na	VHQE01000425.1	760001	780000	0.6741863575568435	1278
Mi	Na	VHQE01000425.1	780001	800000	0.6678280120743654	1238
Mi	Na	VHQE01000425.1	800001	820000	0.6693552738063124	694
Mi	Na	VHQE01000425.1	820001	840000	0.7507897614795742	879
Mi	Na	VHQE01000425.1	840001	860000	0.6717847990288643	1259
Mi	Na	VHQE01000425.1	860001	880000	0.6243964559497058	1240
Mi	Na	VHQE01000425.1	880001	900000	0.7205572463113067	1169
Mi	Na	VHQE01000425.1	900001	920000	0.6625467904206616	980
Mi	Na	VHQE01000425.1	920001	940000	0.6271790504577389	1123
Mi	Na	VHQE01000425.1	940001	960000	0.7434897471380048	1016
Mi	Na	VHQE01000425.1	960001	980000	0.7926171971578145	988
Mi	Na	VHQE01000425.1	980001	1000000	0.7985335603730908	949
Mi	Na	VHQE01000425.1	1000001	1020000	0.7771656459499643	1103
Mi	Na	VHQE01000425.1	1020001	1040000	0.6476102420577406	1030
Mi	Na	VHQE01000425.1	1040001	1060000	0.6451538996413261	1086
Mi	Na	VHQE01000425.1	1060001	1080000	0.7111215475791121	1061
Mi	Na	VHQE01000425.1	1080001	1100000	0.8708604075720695	988
Mi	Na	VHQE01000425.1	1100001	1120000	0.8844826179206791	918
Mi	Na	VHQE01000425.1	1120001	1140000	0.8593241422203793	904
Mi	Na	VHQE01000425.1	1140001	1160000	0.932560736333328	989
Mi	Na	VHQE01000425.1	1160001	1180000	0.8396628865340522	1039
Mi	Na	VHQE01000425.1	1180001	1200000	0.8435415608599967	1070
Mi	Na	VHQE01000425.1	1200001	1220000	0.8751402300619398	1048
Mi	Na	VHQE01000425.1	1220001	1240000	0.771804520730491	1116
Mi	Na	VHQE01000425.1	1240001	1260000	0.7842347050022181	1176
Mi	Na	VHQE01000425.1	1260001	1280000	0.6401311714337767	1235
Mi	Na	VHQE01000425.1	1280001	1300000	0.7809924024102698	1225
Mi	Na	VHQE01000425.1	1300001	1320000	0.8436944690419573	1117
Mi	Na	VHQE01000425.1	1320001	1340000	0.7729846860865897	960
Mi	Na	VHQE01000425.1	1340001	1360000	0.8255044998612379	1107
Mi	Na	VHQE01000425.1	1360001	1380000	0.8397128653727384	1054
Mi	Na	VHQE01000425.1	1380001	1400000	0.8294106165052033	1134
Mi	Na	VHQE01000425.1	1400001	1420000	0.5343799232254199	1053
Mi	Na	VHQE01000425.1	1420001	1440000	0.797667638483965	1143
